symbol,kind,session_code,anchor_date,cluster_high_high,cluster_high_close,cluster_low_low,cluster_low_close,session_open,session_close
ES,weekly,RR,2012-02-07,1338.5,1336.75,1331.75,1332.25,1337.25,1335.75
ES,weekly,RR,2012-02-14,1346.75,1346.0,1341.5,1342.25,1345.5,1344.0
ES,weekly,RR,2012-02-21,1363.5,1363.0,1358.5,1359.25,1362.5,1361.25
ES,weekly,RR,2012-02-28,1371.25,1369.5,1364.5,1364.75,1367.25,1368.25
ES,weekly,RR,2012-03-06,1349.5,1348.5,1343.0,1344.0,1348.5,1344.75
ES,weekly,RR,2012-03-13,1379.25,1378.75,1376.0,1376.75,1378.25,1377.75
ES,weekly,RR,2012-03-20,1397.0,1396.5,1391.75,1392.75,1395.75,1395.25
ES,weekly,RR,2012-03-27,1414.0,1413.75,1410.75,1411.5,1412.75,1412.0
ES,weekly,RR,2012-04-03,1413.75,1413.5,1409.0,1409.5,1412.0,1411.75
ES,weekly,RR,2012-04-10,1378.5,1377.75,1370.5,1371.25,1374.5,1372.75
ES,weekly,RR,2012-04-17,1379.0,1378.5,1371.75,1373.0,1373.5,1378.25
ES,weekly,RR,2012-04-24,1370.75,1369.75,1362.75,1364.5,1363.75,1368.5
ES,weekly,RR,2012-05-01,1406.5,1406.0,1391.25,1392.0,1392.75,1406.0
ES,weekly,RR,2012-05-08,1359.75,1358.5,1350.75,1351.25,1357.25,1351.25
ES,weekly,RR,2012-05-15,1341.5,1341.25,1333.5,1335.25,1334.75,1341.25
ES,weekly,RR,2012-05-22,1324.75,1323.5,1313.75,1314.0,1317.25,1323.0
ES,weekly,RR,2012-05-29,1332.5,1331.75,1323.75,1324.25,1326.0,1331.75
ES,weekly,RR,2012-06-05,1284.5,1283.0,1271.75,1275.0,1272.25,1282.5
ES,weekly,RR,2012-06-12,1315.5,1313.5,1306.75,1307.75,1312.25,1308.5
ES,weekly,RR,2012-06-19,1351.75,1350.75,1343.75,1344.75,1345.25,1350.75
ES,weekly,RR,2012-06-26,1314.0,1312.5,1307.5,1307.75,1311.0,1307.75
ES,weekly,RR,2012-07-03,1364.75,1364.5,1357.75,1358.75,1359.0,1363.75
ES,weekly,RR,2012-07-10,1356.5,1355.75,1347.25,1347.25,1354.0,1349.5
ES,weekly,RR,2012-07-17,1356.5,1355.5,1344.5,1346.25,1353.5,1347.0
ES,weekly,RR,2012-07-24,1346.25,1344.0,1335.25,1336.5,1345.5,1336.5
ES,weekly,RR,2012-07-31,1382.5,1381.5,1376.5,1377.25,1379.25,1380.0
ES,weekly,RR,2012-08-07,1400.5,1399.75,1395.5,1396.5,1395.75,1399.5
ES,weekly,RR,2012-08-14,1407.75,1405.5,1402.25,1403.5,1406.75,1403.75
ES,weekly,RR,2012-08-21,1423.25,1423.0,1418.25,1419.25,1419.0,1423.0
ES,weekly,RR,2012-08-28,1411.25,1410.5,1403.25,1404.5,1405.25,1410.5
ES,weekly,RR,2012-09-04,1405.25,1404.5,1397.25,1397.5,1403.75,1397.5
ES,weekly,RR,2012-09-11,1434.5,1433.75,1429.0,1430.0,1429.5,1433.0
ES,weekly,RR,2012-09-18,1453.25,1452.25,1449.5,1450.25,1452.0,1452.0
ES,weekly,RR,2012-09-25,1456.5,1455.5,1452.25,1452.75,1454.0,1454.0
ES,weekly,RR,2012-10-02,1445.75,1445.0,1437.75,1438.5,1443.25,1441.5
ES,weekly,RR,2012-10-09,1451.0,1450.5,1447.0,1447.25,1449.75,1447.75
ES,weekly,RR,2012-10-16,1446.5,1445.75,1440.75,1441.0,1441.75,1445.75
ES,weekly,RR,2012-10-23,1413.25,1412.25,1406.0,1407.0,1412.25,1407.0
ES,weekly,RR,2012-11-06,1419.5,1419.25,1415.0,1417.0,1416.75,1417.0
ES,weekly,RR,2012-11-13,1381.0,1380.0,1367.0,1369.5,1369.0,1377.75
ES,weekly,RR,2012-11-20,1384.75,1384.5,1378.25,1379.25,1382.5,1383.75
ES,weekly,RR,2012-11-27,1406.75,1406.0,1398.0,1399.0,1402.25,1399.0
ES,weekly,RR,2012-12-04,1411.75,1411.25,1405.5,1406.75,1407.5,1406.75
ES,weekly,RR,2012-12-11,1430.0,1429.5,1422.75,1424.75,1423.75,1429.25
ES,weekly,RR,2012-12-18,1430.75,1430.75,1425.25,1426.25,1427.5,1430.75
ES,weekly,RR,2013-01-08,1455.75,1455.25,1448.5,1449.25,1453.5,1450.0
ES,weekly,RR,2013-01-15,1462.5,1462.0,1458.25,1459.0,1459.25,1460.25
ES,weekly,RR,2013-01-22,1481.5,1480.75,1476.25,1476.25,1479.5,1476.25
ES,weekly,RR,2013-01-29,1498.0,1497.75,1493.0,1493.25,1494.0,1496.0
ES,weekly,RR,2013-02-05,1505.0,1504.25,1498.75,1500.0,1499.75,1503.5
ES,weekly,RR,2013-02-12,1516.25,1516.0,1512.0,1512.25,1513.75,1515.5
ES,weekly,RR,2013-02-19,1524.75,1524.5,1519.5,1520.5,1519.5,1524.5
ES,weekly,RR,2013-02-26,1497.0,1496.75,1488.5,1488.5,1493.25,1488.5
ES,weekly,RR,2013-03-05,1538.75,1538.5,1532.0,1533.25,1532.25,1538.5
ES,weekly,RR,2013-03-12,1556.5,1556.0,1552.75,1553.5,1554.5,1556.0
ES,weekly,RR,2013-03-19,1551.0,1550.5,1545.5,1546.25,1549.0,1546.25
ES,weekly,RR,2013-03-26,1555.75,1555.0,1551.5,1551.75,1552.0,1554.5
ES,weekly,RR,2013-04-02,1567.0,1566.5,1560.75,1563.25,1562.0,1565.25
ES,weekly,RR,2013-04-09,1562.0,1561.5,1555.5,1556.25,1561.0,1561.0
ES,weekly,RR,2013-04-16,1561.25,1560.75,1556.5,1556.75,1558.5,1557.5
ES,weekly,RR,2013-04-23,1571.75,1571.0,1564.25,1565.5,1564.75,1571.0
ES,weekly,RR,2013-04-30,1589.0,1588.75,1581.25,1582.5,1588.0,1582.5
ES,weekly,RR,2013-05-07,1619.5,1619.0,1611.75,1612.75,1616.5,1614.75
ES,weekly,RR,2013-05-14,1642.25,1642.0,1631.5,1634.5,1631.75,1642.0
ES,weekly,RR,2013-05-21,1670.25,1669.0,1660.75,1661.5,1665.75,1662.25
ES,weekly,RR,2013-05-28,1672.75,1672.5,1664.25,1665.0,1665.5,1672.0
ES,weekly,RR,2013-06-04,1644.75,1643.5,1637.25,1641.0,1638.75,1643.25
ES,weekly,RR,2013-06-11,1629.75,1628.75,1621.5,1622.75,1627.0,1628.75
ES,weekly,RR,2013-06-18,1639.75,1639.0,1633.5,1635.5,1634.0,1639.0
ES,weekly,RR,2013-06-25,1582.25,1580.75,1570.0,1571.25,1581.0,1574.0
ES,weekly,RR,2013-07-02,1617.75,1617.0,1605.75,1609.25,1606.5,1615.75
ES,weekly,RR,2013-07-09,1646.75,1644.25,1638.5,1639.25,1645.25,1639.25
ES,weekly,RR,2013-07-16,1679.5,1677.5,1674.5,1674.75,1678.5,1675.75
ES,weekly,RR,2013-07-23,1694.0,1693.5,1688.5,1689.0,1693.5,1689.0
ES,weekly,RR,2013-07-30,1688.5,1687.5,1684.0,1684.25,1686.5,1686.75
ES,weekly,RR,2013-08-06,1700.5,1700.0,1693.75,1694.0,1698.75,1694.0
ES,weekly,RR,2013-08-13,1690.5,1690.25,1679.25,1681.0,1689.25,1682.0
ES,weekly,RR,2013-08-20,1649.25,1648.5,1643.25,1643.5,1645.25,1648.25
ES,weekly,RR,2013-08-27,1644.25,1643.0,1635.75,1636.5,1638.0,1636.5
ES,weekly,RR,2013-09-03,1650.0,1648.5,1643.75,1644.5,1646.5,1645.5
ES,weekly,RR,2013-09-10,1682.0,1681.75,1676.75,1678.0,1680.5,1681.5
ES,weekly,RR,2013-09-17,1697.25,1697.0,1692.0,1694.0,1692.25,1696.75
ES,weekly,RR,2013-09-24,1694.75,1694.5,1687.5,1688.5,1694.75,1692.25
ES,weekly,RR,2013-10-01,1685.0,1684.75,1675.25,1678.25,1676.5,1683.5
