asset,date,exit_time,direction,entry_price,stop_price,target_price,exit_price,r_pnl,reason
NQ,2022-01-27,2022-01-27 04:00:00,SHORT,14092.270833333334,14142.125,13844.5,14142.125,-1.0,STOP
NQ,2022-01-28,2022-01-28 09:25:00,SHORT,14022.46875,14061.0625,13831.0,14061.0625,-1.0,STOP
NQ,2022-02-02,2022-02-02 16:10:00,SHORT,14980.9375,15000.625,14884.0,14884.0,4.923809523809524,TARGET
NQ,2022-02-07,2022-02-07 16:05:00,SHORT,14575.15625,14588.1875,14511.5,14588.1875,-1.0,STOP
NQ,2022-02-09,2022-02-09 20:30:00,LONG,15008.666666666666,14996.5,15068.0,14996.5,-1.0,STOP
NQ,2022-02-11,2022-02-11 08:40:00,SHORT,14690.84375,14723.8125,14527.5,14723.8125,-1.0,STOP
NQ,2022-02-15,2022-02-15 18:45:00,LONG,14575.677083333334,14567.5625,14614.75,14567.5625,-1.0,STOP
NQ,2022-02-17,2022-02-17 20:35:00,SHORT,14216.833333333334,14234.75,14128.75,14234.75,-1.0,STOP
NQ,2022-02-20,2022-02-20 20:05:00,SHORT,13955.4375,13984.875,13809.75,13984.875,-1.0,STOP
NQ,2022-02-22,2022-02-22 04:30:00,SHORT,13728.229166666666,13758.125,13580.25,13758.125,-1.0,STOP
NQ,2022-02-27,2022-02-27 18:05:00,LONG,14111.1875,14093.875,14196.25,14093.875,-1.0,STOP
NQ,2022-03-01,2022-03-01 03:25:00,LONG,14236.645833333334,14218.125,14327.75,14218.125,-1.0,STOP
NQ,2022-03-04,2022-03-04 03:20:00,SHORT,14003.229166666666,14055.125,13745.25,14055.125,-1.0,STOP
NQ,2022-03-07,2022-03-07 09:00:00,SHORT,13753.697916666666,13799.1875,13527.75,13799.1875,-1.0,STOP
NQ,2022-03-08,2022-03-08 12:15:00,SHORT,13403.520833333334,13463.875,13103.25,13463.875,-1.0,STOP
NQ,2022-03-09,2022-03-09 20:35:00,LONG,13737.885416666666,13720.8125,13821.75,13720.8125,-1.0,STOP
NQ,2022-03-11,2022-03-11 03:00:00,LONG,13590.635416666666,13576.0625,13662.0,13576.0625,-1.0,STOP
NQ,2022-03-13,2022-03-13 20:15:00,SHORT,13388.375,13410.0,13281.75,13410.0,-1.0,STOP
NQ,2022-03-15,2022-03-15 07:05:00,SHORT,13080.947916666666,13108.9375,12942.5,13108.9375,-1.0,STOP
NQ,2022-03-17,2022-03-17 13:25:00,LONG,13836.260416666666,13798.0625,14025.75,14025.75,4.960730842650762,TARGET
NQ,2022-03-17,2022-03-17 18:10:00,LONG,14054.9375,14039.125,14132.5,14039.125,-1.0,STOP
NQ,2022-03-21,2022-03-21 01:30:00,LONG,14338.0,14316.75,14442.75,14316.75,-1.0,STOP
NQ,2022-03-23,2022-03-23 23:55:00,SHORT,14500.854166666666,14513.125,14441.0,14513.125,-1.0,STOP
NQ,2022-03-25,2022-03-25 07:25:00,LONG,14695.604166666666,14671.625,14814.0,14814.0,4.937445699391984,TARGET
NQ,2022-03-28,2022-03-28 08:50:00,LONG,14759.9375,14749.125,14812.5,14749.125,-1.0,STOP
NQ,2022-04-01,2022-04-01 02:20:00,SHORT,14927.541666666666,14942.25,14855.5,14942.25,-1.0,STOP
NQ,2022-04-04,2022-04-04 08:55:00,LONG,14890.291666666666,14880.25,14939.0,14880.25,-1.0,STOP
NQ,2022-04-05,2022-04-05 09:35:00,LONG,15108.666666666666,15090.5,15198.0,15090.5,-1.0,STOP
NQ,2022-04-08,2022-04-08 06:10:00,LONG,14569.427083333334,14554.5625,14642.25,14554.5625,-1.0,STOP
NQ,2022-04-10,2022-04-10 18:00:00,SHORT,14350.614583333334,14358.9375,14310.5,14358.9375,-1.0,STOP
NQ,2022-04-12,2022-04-12 05:50:00,SHORT,14015.052083333334,14037.8125,13902.75,14037.8125,-1.0,STOP
NQ,2022-04-14,2022-04-14 09:00:00,LONG,14199.729166666666,14180.125,14296.25,14180.125,-1.0,STOP
NQ,2022-04-18,2022-04-18 20:50:00,LONG,13960.395833333334,13948.375,14019.0,13948.375,-1.0,STOP
NQ,2022-04-26,2022-04-26 03:10:00,LONG,13480.770833333334,13459.875,13583.75,13459.875,-1.0,STOP
NQ,2022-04-27,2022-04-27 03:55:00,SHORT,13079.947916666666,13135.9375,12801.5,13135.9375,-1.0,STOP
NQ,2022-04-28,2022-04-28 08:55:00,LONG,13203.125,13174.0,13347.25,13174.0,-1.0,STOP
NQ,2022-05-02,2022-05-02 07:55:00,SHORT,12954.5,12984.5,12806.0,12806.0,4.95,TARGET
NQ,2022-05-03,2022-05-03 09:45:00,LONG,13015.239583333334,12983.6875,13171.5,12983.6875,-1.0,STOP
NQ,2022-05-09,2022-05-09 03:10:00,SHORT,12602.447916666666,12621.4375,12509.0,12621.4375,-1.0,STOP
NQ,2022-05-09,2022-05-09 21:55:00,SHORT,12217.104166666666,12240.375,12102.25,12240.375,-1.0,STOP
NQ,2022-05-11,2022-05-11 08:30:00,LONG,12469.75,12452.75,12553.25,12452.75,-1.0,STOP
NQ,2022-05-12,2022-05-12 01:20:00,SHORT,12047.916666666666,12073.5,11921.5,11921.5,4.9413680781757545,TARGET
NQ,2022-05-15,2022-05-15 22:05:00,LONG,12366.864583333334,12340.1875,12498.75,12340.1875,-1.0,STOP
NQ,2022-05-17,2022-05-17 21:40:00,LONG,12528.9375,12515.625,12594.0,12515.625,-1.0,STOP
NQ,2022-05-20,2022-05-20 09:30:00,LONG,12021.6875,12006.375,12096.75,12006.375,-1.0,STOP
NQ,2022-05-23,2022-05-23 18:05:00,LONG,12001.53125,11986.4375,12075.5,11986.4375,-1.0,STOP
NQ,2022-05-24,2022-05-24 23:40:00,LONG,11794.90625,11779.6875,11869.5,11869.5,4.901437371663245,TARGET
NQ,2022-05-30,2022-05-30 20:45:00,SHORT,12754.885416666666,12761.3125,12724.25,12724.25,4.766612641814691,TARGET
NQ,2022-06-03,2022-06-03 06:40:00,LONG,12807.791666666666,12780.0,12945.25,12780.0,-1.0,STOP
NQ,2022-06-09,2022-06-09 04:35:00,SHORT,12619.364583333334,12630.1875,12566.75,12630.1875,-1.0,STOP
NQ,2022-06-15,2022-06-15 05:10:00,LONG,11410.822916666666,11400.4375,11461.25,11400.4375,-1.0,STOP
NQ,2022-06-19,2022-06-19 21:20:00,LONG,11345.458333333334,11326.75,11437.5,11326.75,-1.0,STOP
NQ,2022-06-20,2022-06-20 20:50:00,LONG,11412.802083333334,11406.3125,11443.75,11443.75,4.768860353129477,TARGET
NQ,2022-06-28,2022-06-28 01:35:00,SHORT,12035.489583333334,12048.6875,11971.0,12048.6875,-1.0,STOP
