asset,date,dr_high,dr_low,sr_high_close,sr_low_close,breakout_time,direction,cluster,entry_time,entry_price,stop_price,exit_time,exit_reason,exit_price,pnl,r_multiple
GC,2020-06-22,1779.0,1768.8,1778.4,1770.5,2020-06-22 10:50:00-04:00,Short Breakout,First,2020-06-22 10:50:00-04:00,1768.92,1772.08,2020-06-22 10:50:00-04:00,STOP,1772.08,-3.1599999999998545,-1.0
GC,2020-06-22,1779.0,1768.8,1778.4,1770.5,2020-06-22 10:50:00-04:00,Short Breakout,Second,2020-06-22 11:40:00-04:00,1773.66,1776.8200000000002,2020-06-22 15:55:00-04:00,SESSION_CLOSE,1765.5,8.160000000000082,2.5822784810126174
GC,2020-06-24,1785.2,1774.1,1784.0,1777.0,2020-06-24 10:35:00-04:00,Long Breakout,First,2020-06-24 10:35:00-04:00,1785.2,1782.6,2020-06-24 10:35:00-04:00,STOP,1782.6,-2.6000000000001364,-1.0
GC,2020-06-24,1785.2,1774.1,1784.0,1777.0,2020-06-24 10:35:00-04:00,Long Breakout,Second,2020-06-24 11:20:00-04:00,1781.2,1778.4,2020-06-24 11:30:00-04:00,STOP,1778.4,-2.7999999999999545,-1.0
GC,2020-06-26,1764.1,1754.0,1763.8,1757.2,2020-06-26 10:55:00-04:00,Long Breakout,First,2020-06-26 10:55:00-04:00,1764.1,1762.48,2020-06-26 10:55:00-04:00,STOP,1762.48,-1.6199999999998909,-1.0
GC,2020-06-29,1785.2,1780.2,1784.4,1781.3,2020-06-29 10:40:00-04:00,Long Breakout,First,2020-06-29 10:40:00-04:00,1785.0200000000002,1783.78,2020-06-29 10:40:00-04:00,STOP,1783.78,-1.2400000000002365,-1.0
GC,2020-06-29,1785.2,1780.2,1784.4,1781.3,2020-06-29 10:40:00-04:00,Long Breakout,Second,2020-06-29 11:30:00-04:00,1783.16,1781.92,2020-06-29 11:45:00-04:00,STOP,1781.92,-1.240000000000009,-1.0
GC,2020-06-30,1789.8,1779.2,1787.8,1780.0,2020-06-30 10:30:00-04:00,Long Breakout,First,2020-06-30 10:30:00-04:00,1789.36,1786.24,2020-06-30 15:55:00-04:00,SESSION_CLOSE,1797.8,8.440000000000055,2.705128205128317
GC,2020-07-01,1789.4,1773.0,1789.2,1775.3,2020-07-01 10:30:00-04:00,Short Breakout,First,2020-07-01 10:30:00-04:00,1773.0,1778.08,2020-07-01 12:45:00-04:00,STOP,1778.08,-5.079999999999927,-1.0
GC,2020-07-01,1789.4,1773.0,1789.2,1775.3,2020-07-01 10:30:00-04:00,Short Breakout,Second,2020-07-01 13:30:00-04:00,1780.86,1786.42,2020-07-01 15:55:00-04:00,SESSION_CLOSE,1781.8,-0.9400000000000546,-0.1690647482014434
GC,2020-07-02,1789.6,1775.9,1789.3,1777.6,2020-07-02 11:15:00-04:00,Long Breakout,First,2020-07-02 11:15:00-04:00,1789.6,1786.96,2020-07-02 12:05:00-04:00,STOP,1786.96,-2.6399999999998727,-1.0
GC,2020-07-03,1787.3,1783.7,1787.2,1784.5,2020-07-03 11:05:00-04:00,Long Breakout,First,2020-07-03 11:05:00-04:00,1787.3,1786.66,2020-07-03 11:05:00-04:00,STOP,1786.66,-0.6399999999998727,-1.0
GC,2020-07-03,1787.3,1783.7,1787.2,1784.5,2020-07-03 11:05:00-04:00,Long Breakout,Second,2020-07-03 12:05:00-04:00,1786.1200000000001,1785.04,2020-07-03 12:55:00-04:00,SESSION_CLOSE,1787.3,1.1799999999998363,1.0925925925922846
GC,2020-07-07,1809.7,1788.8,1807.0,1788.8,2020-07-07 13:20:00-04:00,Long Breakout,First,2020-07-07 13:20:00-04:00,1809.7,1803.36,2020-07-07 15:55:00-04:00,SESSION_CLOSE,1809.3,-0.40000000000009095,-0.06309148264985517
GC,2020-07-08,1829.8,1820.8,1829.1,1820.8,2020-07-08 11:20:00-04:00,Short Breakout,First,2020-07-08 11:20:00-04:00,1820.8,1822.46,2020-07-08 12:00:00-04:00,STOP,1822.46,-1.6600000000000819,-1.0
GC,2020-07-08,1829.8,1820.8,1829.1,1820.8,2020-07-08 11:20:00-04:00,Short Breakout,Second,2020-07-08 12:15:00-04:00,1824.12,1827.4399999999998,2020-07-08 15:55:00-04:00,SESSION_CLOSE,1818.6,5.519999999999982,1.662650602409665
GC,2020-07-09,1823.1,1816.1,1822.2,1817.4,2020-07-09 10:40:00-04:00,Short Breakout,First,2020-07-09 10:40:00-04:00,1816.44,1818.3600000000001,2020-07-09 11:00:00-04:00,TARGET,1805.4,11.039999999999964,5.749999999999763
GC,2020-07-10,1815.7,1805.4,1813.8,1806.0,2020-07-10 11:10:00-04:00,Short Breakout,First,2020-07-10 11:10:00-04:00,1805.4,1807.56,2020-07-10 15:55:00-04:00,SESSION_CLOSE,1802.2,3.2000000000000455,1.4814814814816024
GC,2020-07-13,1818.8,1810.1,1817.6,1810.4,2020-07-13 10:30:00-04:00,Short Breakout,First,2020-07-13 10:30:00-04:00,1810.1,1811.8400000000001,2020-07-13 11:00:00-04:00,STOP,1811.8400000000001,-1.7400000000002365,-1.0
GC,2020-07-13,1818.8,1810.1,1817.6,1810.4,2020-07-13 10:30:00-04:00,Short Breakout,Second,2020-07-13 12:15:00-04:00,1813.28,1816.1599999999999,2020-07-13 15:55:00-04:00,SESSION_CLOSE,1804.6,8.680000000000064,3.013888888889035
GC,2020-07-14,1812.0,1798.3,1810.8,1799.5,2020-07-14 11:05:00-04:00,Long Breakout,First,2020-07-14 11:05:00-04:00,1812.0,1808.54,2020-07-14 15:55:00-04:00,SESSION_CLOSE,1813.0,1.0,0.2890173410404594
GC,2020-07-15,1814.0,1804.0,1813.5,1805.4,2020-07-15 10:30:00-04:00,Long Breakout,First,2020-07-15 10:30:00-04:00,1814.0,1811.88,2020-07-15 10:45:00-04:00,STOP,1811.88,-2.119999999999891,-1.0
GC,2020-07-15,1814.0,1804.0,1813.5,1805.4,2020-07-15 10:30:00-04:00,Long Breakout,Second,2020-07-15 10:55:00-04:00,1810.26,1807.02,2020-07-15 15:55:00-04:00,SESSION_CLOSE,1814.2,3.9400000000000546,1.2160493827160628
GC,2020-07-16,1809.9,1806.1,1809.6,1806.4,2020-07-16 10:30:00-04:00,Long Breakout,First,2020-07-16 10:30:00-04:00,1809.9,1808.96,2020-07-16 10:40:00-04:00,STOP,1808.96,-0.9400000000000546,-1.0
GC,2020-07-16,1809.9,1806.1,1809.6,1806.4,2020-07-16 10:30:00-04:00,Long Breakout,Second,2020-07-16 10:50:00-04:00,1808.32,1807.04,2020-07-16 11:05:00-04:00,STOP,1807.04,-1.2799999999999727,-1.0
GC,2020-07-17,1811.0,1806.1,1810.3,1807.3,2020-07-17 10:40:00-04:00,Long Breakout,First,2020-07-17 10:40:00-04:00,1810.8999999999999,1809.7,2020-07-17 12:45:00-04:00,STOP,1809.7,-1.199999999999818,-1.0
GC,2020-07-17,1811.0,1806.1,1810.3,1807.3,2020-07-17 10:40:00-04:00,Long Breakout,Second,2020-07-17 12:45:00-04:00,1809.1,1807.8999999999999,2020-07-17 15:55:00-04:00,SESSION_CLOSE,1811.9,2.800000000000182,2.3333333333333965
GC,2020-07-20,1820.1,1812.8,1818.8,1814.4,2020-07-20 10:30:00-04:00,Long Breakout,First,2020-07-20 10:30:00-04:00,1819.6799999999998,1817.92,2020-07-20 11:05:00-04:00,STOP,1817.92,-1.7599999999997635,-1.0
GC,2020-07-20,1820.1,1812.8,1818.8,1814.4,2020-07-20 10:30:00-04:00,Long Breakout,Second,2020-07-20 11:25:00-04:00,1817.04,1815.28,2020-07-20 15:55:00-04:00,SESSION_CLOSE,1818.7,1.6600000000000819,0.9431818181818695
GC,2020-07-21,1843.8,1835.8,1843.4,1836.4,2020-07-21 13:15:00-04:00,Long Breakout,First,2020-07-21 13:15:00-04:00,1843.8,1842.0,2020-07-21 15:15:00-04:00,STOP,1842.0,-1.7999999999999545,-1.0
GC,2020-07-21,1843.8,1835.8,1843.4,1836.4,2020-07-21 13:15:00-04:00,Long Breakout,Second,2020-07-21 15:35:00-04:00,1840.6000000000001,1837.8000000000002,2020-07-21 15:55:00-04:00,SESSION_CLOSE,1841.8,1.199999999999818,0.4285714285713706
