Id,Start,Name,Impact,Currency
ea60703e-fa52-4505-91ab-4bb7e0a2cd21,11/19/08 13:30,Housing Starts (MoM),HIGH,USD
1c0f92ca-4d1a-4a2b-8a67-536b71199b86,11/25/08 13:30,Core Personal Consumption Expenditures (QoQ),HIGH,USD
7ab0995a-36c6-4e58-853b-8a269536b17b,11/25/08 13:30,Gross Domestic Product Annualized,HIGH,USD
12e665fa-ec12-4414-9a38-743e1771f593,11/26/08 13:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
32c6303e-cf66-4f4b-885a-d0723c20690f,11/26/08 13:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
b0de40a1-6d17-4026-a1e7-e8c4a5e73105,11/26/08 13:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
c710aef6-6fe2-478e-8f6e-4c80ad799f2d,12/5/08 13:30,Average Hourly Earnings (MoM),HIGH,USD
5a5e7b43-4b1d-4fc5-bc53-ddd14eb9522f,12/5/08 13:30,Average Hourly Earnings (YoY),HIGH,USD
4cfb104f-65cc-4c84-8cf8-24e5070d7d63,12/5/08 13:30,Average Weekly Hours,HIGH,USD
f7a09a7a-0011-4a7d-aa8e-327683cfb404,12/5/08 13:30,Nonfarm Payrolls,HIGH,USD
b58ced0b-3b81-4e12-98b3-e03b5477472d,12/5/08 13:30,Unemployment Rate,HIGH,USD
bba43495-c77a-4d8f-8a91-ea133637609b,12/11/08 13:30,Goods and Services Trade Balance,HIGH,USD
3dad8d82-3d3c-4cce-9e09-e71a8560b1aa,12/12/08 13:30,Retail Sales (MoM),HIGH,USD
da42eead-c7d1-4044-a16c-dba849114148,12/12/08 13:30,Retail Sales ex Autos (MoM),HIGH,USD
e1fe92f1-b201-4514-8ea7-99604f591133,12/16/08 13:30,Housing Starts (MoM),HIGH,USD
909024fb-db60-4136-bd18-6b49ec1c4808,12/16/08 19:15,Fed Interest Rate Decision,HIGH,USD
1da53cd9-e334-418f-814c-5aee3a90e1d6,12/23/08 13:30,Core Personal Consumption Expenditures (QoQ),HIGH,USD
a4a9bdf4-e8c9-458f-92a9-d470d1b48ff6,12/23/08 13:30,Gross Domestic Product Annualized,HIGH,USD
59c7522b-af84-49d7-922b-41338987be22,12/24/08 13:30,Core Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
73f74f5a-2beb-44c1-ab59-5fdac40f3777,12/24/08 13:30,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
fdcf8ad5-92cc-4610-a89f-ef64302f2d46,12/24/08 13:30,Personal Consumption Expenditures - Price Index (MoM),HIGH,USD
6ec1953a-a17d-42f5-9d71-8a91ea1102c4,12/24/08 13:30,Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
091c2593-a4cc-4f79-ae01-de83cda70f97,12/24/08 13:30,Personal Income (MoM),HIGH,USD
59e4355a-4a4d-42d9-b1f5-76377d155331,12/31/08 13:30,Continuing Jobless Claims,HIGH,USD
df726c4c-7a91-42cc-8789-0f0c266d846e,12/31/08 13:30,Initial Jobless Claims,HIGH,USD
c9a18a21-1d0d-4b1b-be2a-1c85ce475800,1/6/09 19:00,FOMC Minutes,HIGH,USD
