session_id,day_date,session,end,action,pred_mu,pred_sigma,pred_R_mu,score,pred_pnl,pnl_points_net,entered,outcome_code,equity_points,risk_pts,pnl_R,equity_R,qty,pnl_dollars,equity_dollars,walk_train_start,walk_train_end,walk_test_start,walk_test_end
ES-20250404-RR,2025-04-04,RR,2025-04-04 10:25:00-04:00,breakout_short,5.680733680725098,0.0,0.3900498538918381,5.680733680725098,5.680733680725098,36.1603051446109,1.0,2,1189.951710641086,14.564122057844381,2.482834530017867,105.14129952572522,0.27464751971407436,496.56690600357337,21028.259905145016,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250404-TOUT,2025-04-04,TOUT,2025-04-04 16:55:00-04:00,breakout_short,1.011029601097107,0.0,0.02308675844072517,1.011029601097107,1.011029601097107,109.23154584942131,1.0,2,1299.1832564905073,43.792618339768524,2.494291275345531,107.63559080107075,0.09133959447150844,498.8582550691062,21527.118160214122,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250408-RR,2025-04-08,RR,2025-04-08 10:25:00-04:00,breakout_short,2.588510513305664,0.0,0.03063223211047482,2.588510513305664,2.588510513305664,211.00709220031968,1.0,2,1510.190348690827,84.50283688012772,2.497041519442072,110.13263232051283,0.04733568892692013,499.40830388841437,22026.526464102535,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250408-TOUT,2025-04-08,TOUT,2025-04-08 16:55:00-04:00,breakout_short,4.781757354736328,0.0,0.10743878553934065,4.781757354736328,4.781757354736328,58.0,1.0,1,1568.190348690827,44.50680758100529,1.3031714282008706,111.4358037487137,0.08987389160006005,260.63428564017414,22287.16074974271,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250409-TOUT,2025-04-09,TOUT,2025-04-09 16:55:00-04:00,breakout_short,6.448919296264648,0.0,0.14417863211351478,6.448919296264648,6.448919296264648,0.0,0.0,-1,1568.190348690827,44.72867582199894,,111.4358037487137,,,22287.16074974271,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250409-OR,2025-04-09,OR,2025-04-10 03:55:00-04:00,breakout_short,6.301347732543945,0.0,0.2732616097536345,6.301347732543945,6.301347732543945,-23.30976217524676,1.0,0,1544.8805865155803,23.059762175246917,-1.0108413954185618,110.42496235329513,0.17346232669709524,-202.16827908371235,22084.992470659,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250409-TR,2025-04-09,TR,2025-04-10 09:25:00-04:00,breakout_short,7.7860541343688965,0.0,0.28093881403765386,7.7860541343688965,7.7860541343688965,28.0,1.0,1,1572.8805865155803,27.71441233935494,1.010304662323275,111.43526701561841,0.14432923747475357,202.060932464655,22287.053403123653,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250410-RR,2025-04-10,RR,2025-04-10 10:25:00-04:00,breakout_short,6.222308158874512,0.0,0.07342064467410385,6.222308158874512,6.222308158874512,16.25,1.0,1,1589.1305865155803,84.74875406629572,0.191743231850798,111.6270102474692,0.047198333994042586,38.3486463701596,22325.402049493812,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250410-TOUT,2025-04-10,TOUT,2025-04-10 16:55:00-04:00,breakout_short,11.45536994934082,0.0,0.25698042816680605,11.45536994934082,11.45536994934082,2.5,1.0,1,1591.6305865155803,44.576818674709095,0.05608296137602993,111.68309320884524,0.0897327382016479,11.216592275205988,22336.61864176902,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250411-TOUT,2025-04-11,TOUT,2025-04-11 16:55:00-04:00,breakout_long,9.883237838745117,0.0,0.2219759883466978,9.883237838745117,9.883237838745117,35.0,1.0,1,1626.6305865155803,44.52390509602677,0.7860945692996577,112.4691877781449,0.08983937934853231,157.21891385993155,22493.83755562895,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250411-OR,2025-04-11,OR,2025-04-14 03:55:00-04:00,breakout_short,5.722228050231934,0.0,0.20041787355261387,5.722228050231934,5.722228050231934,-28.80148569735593,1.0,0,1597.8291008182243,28.551485697355876,-1.0087561117712065,111.4604316663737,0.14009778833927497,-201.75122235424132,22292.08633327471,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250414-RR,2025-04-14,RR,2025-04-14 10:25:00-04:00,breakout_short,8.490767478942871,0.0,0.10077002369409112,8.490767478942871,8.490767478942871,1.5,1.0,1,1599.3291008182243,84.25886159080805,0.01780228182151986,111.47823394819521,0.04747275152405296,3.560456364303972,22295.646789639013,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250414-TOUT,2025-04-14,TOUT,2025-04-14 16:55:00-04:00,breakout_short,3.6707348823547363,0.0,0.08238373484576303,3.6707348823547363,3.6707348823547363,0.0,0.0,-1,1599.3291008182243,44.55654856176408,,111.47823394819521,,,22295.646789639013,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250415-RR,2025-04-15,RR,2025-04-15 10:25:00-04:00,breakout_long,7.39768648147583,0.0,0.0880133422806406,7.39768648147583,7.39768648147583,0.0,0.0,-1,1599.3291008182243,84.05187542915324,,111.47823394819521,,,22295.646789639013,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250415-TOUT,2025-04-15,TOUT,2025-04-15 16:55:00-04:00,breakout_long,7.967392921447754,0.0,0.17964507205404412,7.967392921447754,7.967392921447754,0.0,0.0,-1,1599.3291008182243,44.350745780829754,,111.47823394819521,,,22295.646789639013,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250416-RR,2025-04-16,RR,2025-04-16 10:25:00-04:00,breakout_long,2.37719464302063,0.0,0.028295984342933445,2.37719464302063,2.37719464302063,-84.261731636906,1.0,0,1515.0673691813183,84.0117316369064,-1.0029757748724915,110.47525817332271,0.04761239795993918,-200.59515497449829,22095.051634664516,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250416-TOUT,2025-04-16,TOUT,2025-04-16 16:55:00-04:00,breakout_long,1.109709620475769,0.0,0.025063030302317744,1.109709620475769,1.109709620475769,0.0,0.0,-1,1515.0673691813183,44.27675373209547,,110.47525817332271,,,22095.051634664516,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250416-OR,2025-04-16,OR,2025-04-17 03:55:00-04:00,breakout_long,3.5669336318969727,0.0,0.12830973954918992,3.5669336318969727,3.5669336318969727,0.0,0.0,-1,1515.0673691813183,27.79939889543243,,110.47525817332271,,,22095.051634664516,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250421-TOUT,2025-04-21,TOUT,2025-04-21 16:55:00-04:00,breakout_long,7.365632057189941,0.0,0.16892395933432983,7.365632057189941,7.365632057189941,-2.5,1.0,1,1512.5673691813183,43.60324069016212,-0.0573351879454239,110.41792298537729,0.09173630071267824,-11.46703758908478,22083.58459707543,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250421-OR,2025-04-21,OR,2025-04-22 03:55:00-04:00,breakout_long,10.513298034667969,0.0,0.38410963749360044,10.513298034667969,10.513298034667969,0.0,0.0,-1,1512.5673691813183,27.3705656105625,,110.41792298537729,,,22083.58459707543,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250421-TR,2025-04-21,TR,2025-04-22 09:25:00-04:00,breakout_long,5.021643161773682,0.0,0.1689065705966902,5.021643161773682,5.021643161773682,29.25,1.0,1,1541.8173691813183,29.730300864163556,0.983844735835065,111.40176772121235,0.13454286985778668,196.76894716701304,22280.353544242444,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250422-RR,2025-04-22,RR,2025-04-22 10:25:00-04:00,breakout_long,2.8189001083374023,0.0,0.033779776536076424,2.8189001083374023,2.8189001083374023,34.0,1.0,1,1575.8173691813183,83.44934151138769,0.40743281353946076,111.80920053475181,0.047933272181113026,81.48656270789215,22361.840106950334,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250422-TOUT,2025-04-22,TOUT,2025-04-22 16:55:00-04:00,breakout_short,8.5774564743042,0.0,0.19689680333081774,8.5774564743042,8.5774564743042,0.0,0.0,-1,1575.8173691813183,43.56320838735364,,111.80920053475181,,,22361.840106950334,2021-04-01,2025-03-31,2025-04-01,2025-06-30
ES-20250422-OR,2025-04-22,OR,2025-04-23 03:55:00-04:00,breakout_short,2.6288366317749023,0.0,0.09801848188892222,2.6288366317749023,2.6288366317749023,0.0,0.0,-1,1575.8173691813183,26.81980562353523,,111.80920053475181,,,22361.840106950334,2021-04-01,2025-03-31,2025-04-01,2025-06-30
