entry_ts,entry_time,entry_time_et,ny_day,session,direction,entry_price,stop_price,primary_target,primary_reason,r_target,reasoning,hit_1h,r_1h,hit_2h,r_2h,hit_4h,r_4h,hit_session,r_session
1739151300,2025-02-10 01:35:00+00:00,2025-02-09 20:35:00-05:00,2025-02-09,AS,short,6064.5,6070.0,6041.25,prev_wddrb_lo,4.2272727272727275,"wddrb_long=0.00, wddrb_short=1.00, rej_count=34, wick=0.47, conf=1.74, target=prev_wddrb_lo",open,0.0,open,0.0,stop,-1.0,open,0.0
1739196000,2025-02-10 14:00:00+00:00,2025-02-10 09:00:00-05:00,2025-02-10,TR,short,6086.0,6094.0,6041.25,prev_wddrb_lo,5.59375,"wddrb_long=0.00, wddrb_short=1.00, rej_count=10, wick=0.40, conf=1.55, target=prev_wddrb_lo",open,0.0,stop,-1.0,stop,-1.0,open,0.0
1739778300,2025-02-17 07:45:00+00:00,2025-02-17 02:45:00-05:00,2025-02-17,TO,long,6139.75,6141.25,6145.25,prev_wddrb_hi,3.6666666666666665,"wddrb_long=1.00, wddrb_short=0.00, rej_count=26, wick=0.50, conf=1.21, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1739842500,2025-02-18 01:35:00+00:00,2025-02-17 20:35:00-05:00,2025-02-17,AS,long,6143.5,6142.75,6146.5,asia_high,4.0,"wddrb_long=0.79, wddrb_short=0.05, rej_count=31, wick=0.61, conf=1.68, target=asia_high",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740016500,2025-02-20 01:55:00+00:00,2025-02-19 20:55:00-05:00,2025-02-19,AS,long,6147.5,6141.5,6166.5,prev_wddrb_hi,3.1666666666666665,"wddrb_long=0.79, wddrb_short=0.05, rej_count=20, wick=0.50, conf=1.28, target=prev_wddrb_hi",open,0.0,open,0.0,open,0.0,open,0.0
1740030000,2025-02-20 05:40:00+00:00,2025-02-20 00:40:00-05:00,2025-02-20,AS,long,6144.5,6148.75,6161.84375,daycycle_pct_level,4.080882352941177,"wddrb_long=0.79, wddrb_short=0.05, rej_count=50, wick=0.44, conf=1.56, target=daycycle_pct_level",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740116100,2025-02-21 05:35:00+00:00,2025-02-21 00:35:00-05:00,2025-02-21,AS,long,6131.75,6136.25,6150.0,prev_wddrb_hi,4.055555555555555,"wddrb_long=0.79, wddrb_short=0.05, rej_count=39, wick=0.41, conf=1.23, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740126300,2025-02-21 08:25:00+00:00,2025-02-21 03:25:00-05:00,2025-02-21,OR,long,6132.5,6137.25,6150.0,prev_wddrb_hi,3.6842105263157894,"wddrb_long=0.79, wddrb_short=0.05, rej_count=23, wick=0.43, conf=1.59, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740546900,2025-02-26 05:15:00+00:00,2025-02-26 00:15:00-05:00,2025-02-26,AS,long,5991.25,5995.75,6007.75,prev_wddrb_hi,3.6666666666666665,"wddrb_long=0.79, wddrb_short=0.05, rej_count=16, wick=0.44, conf=1.35, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1740558600,2025-02-26 08:30:00+00:00,2025-02-26 03:30:00-05:00,2025-02-26,OR,long,5993.0,5990.0,6007.75,prev_wddrb_hi,4.916666666666667,"wddrb_long=0.79, wddrb_short=0.05, rej_count=13, wick=0.46, conf=1.12, target=prev_wddrb_hi",open,0.0,open,0.0,open,0.0,open,0.0
1741072200,2025-03-04 07:10:00+00:00,2025-03-04 02:10:00-05:00,2025-03-04,TO,short,5864.75,5858.5,5821.75,prev_wddrb_lo,6.88,"wddrb_long=0.05, wddrb_short=0.75, rej_count=10, wick=0.40, conf=1.23, target=prev_wddrb_lo",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1741226100,2025-03-06 01:55:00+00:00,2025-03-05 20:55:00-05:00,2025-03-05,AS,long,5843.25,5848.5,5869.5,prev_wddrb_hi,5.0,"wddrb_long=0.79, wddrb_short=0.05, rej_count=12, wick=0.50, conf=1.66, target=prev_wddrb_hi",stop,-1.0,stop,-1.0,stop,-1.0,stop,-1.0
1741739700,2025-03-12 00:35:00+00:00,2025-03-11 20:35:00-04:00,2025-03-11,AS,short,5588.5,5596.0,5534.0,prev_wddrb_lo,7.266666666666667,"wddrb_long=0.05, wddrb_short=0.75, rej_count=5, wick=0.40, conf=1.12, target=prev_wddrb_lo",open,0.0,stop,-1.0,stop,-1.0,stop,-1.0
