ts,timestamp_ny,session,archetype,direction,entry,stop,target,r_multiple,condition,expectation,invalidation,weekly_override,horizon,outcome,exit_price,ambiguous,rej_move_away,rej_retest_count,rej_quality
1738769400,2025-02-05T10:30:00-05:00,RS,after_formed,short,6050.25,6052.25,6019.729194908539,-1.0,perfect rejection + box down,THEN expect rotation toward 6019.73.,"IF price breaks 6052.25, THEN short thesis invalid.",False,2h,stop,6052.25,False,3.75,6.0,dirty
1738769400,2025-02-05T10:30:00-05:00,RS,after_formed,short,6050.25,6052.25,6019.729194908539,-1.0,perfect rejection + box down,THEN expect rotation toward 6019.73.,"IF price breaks 6052.25, THEN short thesis invalid.",False,4h,stop,6052.25,False,3.75,6.0,dirty
1738769400,2025-02-05T10:30:00-05:00,RS,after_formed,short,6050.25,6052.25,6019.729194908539,-1.0,perfect rejection + box down,THEN expect rotation toward 6019.73.,"IF price breaks 6052.25, THEN short thesis invalid.",False,session,stop,6052.25,False,3.75,6.0,dirty
1739350800,2025-02-12T04:00:00-05:00,OS,after_formed,short,6088.25,6094.0,6060.649559799433,1.2173913043478262,first break true + confirm,THEN expect rotation toward 6060.65.,"IF price breaks 6094.00, THEN short thesis invalid.",False,1h,timeout,6081.25,False,13.0,0.0,clean
1739350800,2025-02-12T04:00:00-05:00,OS,after_formed,short,6088.25,6094.0,6060.649559799433,0.2608695652173913,first break true + confirm,THEN expect rotation toward 6060.65.,"IF price breaks 6094.00, THEN short thesis invalid.",False,2h,timeout,6086.75,False,13.0,0.0,clean
1739350800,2025-02-12T04:00:00-05:00,OS,after_formed,short,6088.25,6094.0,6060.649559799433,-1.0,first break true + confirm,THEN expect rotation toward 6060.65.,"IF price breaks 6094.00, THEN short thesis invalid.",False,4h,stop,6094.0,False,13.0,0.0,clean
1739350800,2025-02-12T04:00:00-05:00,OS,after_formed,short,6088.25,6094.0,6060.649559799433,-1.0,first break true + confirm,THEN expect rotation toward 6060.65.,"IF price breaks 6094.00, THEN short thesis invalid.",False,session,stop,6094.0,False,13.0,0.0,clean
1739370600,2025-02-12T09:30:00-05:00,RR,range_start,long,6030.75,6023.75,6101.346155968923,3.6785714285714284,rejection bias + confluence,THEN expect rotation toward 6101.35.,"IF price breaks 6023.75, THEN long thesis invalid.",False,1h,timeout,6056.5,False,25.25,1.0,clean
1739370600,2025-02-12T09:30:00-05:00,RR,range_start,long,6030.75,6023.75,6101.346155968923,2.4285714285714284,rejection bias + confluence,THEN expect rotation toward 6101.35.,"IF price breaks 6023.75, THEN long thesis invalid.",False,2h,timeout,6047.75,False,25.25,1.0,clean
1739370600,2025-02-12T09:30:00-05:00,RR,range_start,long,6030.75,6023.75,6101.346155968923,6.428571428571429,rejection bias + confluence,THEN expect rotation toward 6101.35.,"IF price breaks 6023.75, THEN long thesis invalid.",False,4h,timeout,6075.75,False,25.25,1.0,clean
