entry_time,exit_time,direction,entry_price,exit_price,stop_price,target_price,pnl_points,pnl_r,bars_held,exit_reason,entry_phase,stop_reason,target_reason
2013-04-12 00:35:00+00:00,2013-04-30 20:00:00+00:00,SHORT,1587.75,1593.0,1593.0,0.0,-5.25,-1.0,3509,stop,range_forming,wddrb_high,prior_day_low
2013-05-01 00:00:00+00:00,2013-05-01 00:05:00+00:00,SHORT,1592.75,1593.0,1593.0,0.0,-0.25,-1.0,1,stop,range_forming,intraday_high,asia_low
2013-05-01 10:30:00+00:00,2013-05-01 17:05:00+00:00,LONG,1593.5,1581.25,1581.25,1630.25,-12.25,-1.0,79,stop,breakout,wddrb_low,min_rr
2013-05-01 19:10:00+00:00,2013-05-01 19:15:00+00:00,LONG,1580.25,1579.5,1579.5,1589.5,-0.75,-1.0,1,stop,breakout,wddrb_low,wddrb_high
2013-05-02 09:30:00+00:00,2013-05-02 15:10:00+00:00,SHORT,1579.5,1589.5,1589.5,0.0,-10.0,-1.0,68,stop,breakout,wddrb_high,prior_day_low
2013-05-02 19:20:00+00:00,2013-05-03 12:30:00+00:00,SHORT,1593.0,1594.25,1594.25,0.0,-1.25,-1.0,191,stop,breakout,wddrb_high,asia_low
2013-05-03 14:50:00+00:00,2013-05-03 14:55:00+00:00,LONG,1612.75,1612.5,1612.5,1614.25,-0.25,-1.0,1,stop,range_forming,intraday_low,wddrb_high
2013-05-03 17:30:00+00:00,2013-05-03 17:35:00+00:00,LONG,1611.5,1611.25,1611.25,1614.25,-0.25,-1.0,1,stop,range_forming,intraday_low,wddrb_high
2013-05-03 19:30:00+00:00,2013-05-03 19:55:00+00:00,LONG,1610.75,1609.5,1609.5,1614.5,-1.25,-1.0,5,stop,range_forming,intraday_low,min_rr
2013-05-06 00:10:00+00:00,2013-05-06 17:30:00+00:00,SHORT,1609.0,1614.25,1614.25,0.0,-5.25,-1.0,208,stop,range_forming,wddrb_high,asia_low
2013-05-06 20:50:00+00:00,2013-05-07 10:20:00+00:00,SHORT,1612.75,1615.25,1615.25,0.0,-2.5,-1.0,150,stop,range_forming,wddrb_high,asia_low
2013-05-08 01:00:00+00:00,2013-05-08 10:00:00+00:00,SHORT,1619.0,1621.75,1621.75,0.0,-2.75,-1.0,108,stop,breakout,wddrb_high,prior_day_low
2013-05-08 12:45:00+00:00,2013-05-14 14:30:00+00:00,LONG,1619.5,1642.75,1611.75,1642.75,23.25,3.0,1113,target,range_forming,wddrb_low,min_rr
2013-05-15 11:15:00+00:00,2013-05-15 14:55:00+00:00,SHORT,1647.0,1648.75,1648.75,0.0,-1.75,-1.0,44,stop,breakout,wddrb_high,prior_day_low
2013-05-15 22:15:00+00:00,2013-05-17 18:30:00+00:00,SHORT,1654.25,1659.75,1659.75,0.0,-5.5,-1.0,516,stop,range_forming,wddrb_high,asia_low
2013-05-19 23:10:00+00:00,2013-05-20 13:35:00+00:00,SHORT,1663.75,1665.75,1665.75,0.0,-2.0,-1.0,173,stop,range_forming,wddrb_high,asia_low
2013-05-20 15:55:00+00:00,2013-05-20 16:00:00+00:00,SHORT,1669.75,1670.25,1670.25,0.0,-0.5,-1.0,1,stop,breakout,wddrb_high,asia_low
2013-05-20 20:05:00+00:00,2013-05-21 17:05:00+00:00,SHORT,1664.75,1670.75,1670.75,0.0,-6.0,-1.0,237,stop,range_forming,wddrb_high,asia_low
2013-05-21 19:20:00+00:00,2013-05-22 14:00:00+00:00,SHORT,1669.25,1673.25,1673.25,0.0,-4.0,-1.0,209,stop,breakout,wddrb_high,asia_low
2013-05-22 19:45:00+00:00,2013-05-23 03:55:00+00:00,LONG,1650.0,1649.25,1649.25,1685.75,-0.75,-1.0,83,stop,breakout,intraday_low,wddrb_high
2013-05-23 08:15:00+00:00,2013-07-18 14:20:00+00:00,SHORT,1637.0,1685.75,1685.75,0.0,-48.75,-1.0,10828,stop,range_forming,wddrb_high,prior_day_low
2013-07-18 20:05:00+00:00,2013-07-19 01:25:00+00:00,LONG,1679.0,1677.5,1677.5,1688.5,-1.5,-1.0,49,stop,range_forming,wddrb_low,wddrb_high
2013-07-19 03:35:00+00:00,2013-07-19 03:40:00+00:00,LONG,1676.5,1676.25,1676.25,1688.5,-0.25,-1.0,1,stop,breakout,intraday_low,wddrb_high
2013-07-19 05:50:00+00:00,2013-07-19 20:00:00+00:00,LONG,1676.5,1688.5,1676.0,1688.5,12.0,24.0,170,target,breakout,intraday_low,wddrb_high
2013-07-22 04:55:00+00:00,2013-07-22 05:55:00+00:00,SHORT,1691.0,1691.5,1691.5,0.0,-0.5,-1.0,12,stop,breakout,intraday_high,prior_day_low
2013-07-22 10:55:00+00:00,2013-07-24 17:15:00+00:00,LONG,1690.25,1678.5,1678.5,1725.5,-11.75,-1.0,622,stop,breakout,wddrb_low,min_rr
2013-07-24 23:55:00+00:00,2013-08-01 12:30:00+00:00,SHORT,1682.75,1694.5,1694.5,0.0,-11.75,-1.0,1516,stop,range_forming,wddrb_high,asia_low
2013-08-01 14:25:00+00:00,2013-08-01 16:30:00+00:00,SHORT,1700.25,1700.75,1700.75,0.0,-0.5,-1.0,25,stop,breakout,wddrb_high,asia_low
2013-08-01 22:25:00+00:00,2013-08-02 12:30:00+00:00,SHORT,1700.25,1703.75,1703.75,0.0,-3.5,-1.0,169,stop,range_forming,wddrb_high,asia_low
2013-08-02 18:55:00+00:00,2013-08-02 19:10:00+00:00,SHORT,1701.5,1702.75,1702.75,0.0,-1.25,-1.0,3,stop,breakout,wddrb_high,asia_low
2013-08-04 23:35:00+00:00,2013-08-05 14:40:00+00:00,SHORT,1703.0,1705.0,1705.0,0.0,-2.0,-1.0,181,stop,range_forming,wddrb_high,asia_low
2013-08-06 03:35:00+00:00,2013-09-18 18:00:00+00:00,SHORT,1698.75,1705.0,1705.0,0.0,-6.25,-1.0,8574,stop,breakout,wddrb_high,prior_day_low
2013-09-19 04:55:00+00:00,2013-09-19 07:50:00+00:00,SHORT,1719.25,1723.25,1723.25,0.0,-4.0,-1.0,35,stop,range_forming,wddrb_high,prior_day_low
2013-09-19 15:35:00+00:00,2013-09-19 17:05:00+00:00,LONG,1717.0,1715.5,1715.5,1723.75,-1.5,-1.0,18,stop,breakout,wddrb_low,wddrb_high
2013-09-20 00:25:00+00:00,2013-09-20 13:55:00+00:00,LONG,1715.5,1713.25,1713.25,1723.75,-2.25,-1.0,162,stop,breakout,wddrb_low,wddrb_high
2013-09-22 23:25:00+00:00,2013-09-23 00:00:00+00:00,LONG,1703.75,1701.25,1701.25,1711.25,-2.5,-1.0,7,stop,range_forming,wddrb_low,min_rr
2013-09-23 09:10:00+00:00,2013-10-17 15:30:00+00:00,SHORT,1705.25,1719.25,1719.25,0.0,-14.0,-1.0,4990,stop,breakout,wddrb_high,prior_day_low
2013-10-18 05:25:00+00:00,2013-10-18 05:30:00+00:00,SHORT,1732.25,1732.5,1732.5,0.0,-0.25,-1.0,1,stop,breakout,intraday_high,prior_day_low
2013-10-18 13:20:00+00:00,2013-11-29 15:30:00+00:00,LONG,1734.5,1812.5,1708.5,1812.5,78.0,3.0,8127,target,range_forming,wddrb_low,min_rr
2013-11-29 17:45:00+00:00,2013-11-29 17:50:00+00:00,LONG,1805.25,1804.75,1804.75,1812.5,-0.5,-1.0,1,stop,breakout,wddrb_low,wddrb_high
2013-12-02 03:15:00+00:00,2013-12-02 10:15:00+00:00,LONG,1806.0,1802.75,1802.75,1815.75,-3.25,-1.0,84,stop,range_forming,wddrb_low,min_rr
